area,Charactertpe,dist,ene_speed,hero_speed,ene_mode,ene_success
terrain,enemy,251.73297,3,2,seek,FALSE
terrain,enemy,250.46967,3,2,seek,FALSE
terrain,enemy,249.21025,3,2,seek,FALSE
terrain,enemy,247.95464,3,2,seek,FALSE
terrain,enemy,246.70285,3,2,seek,FALSE
terrain,enemy,245.45486,3,2,seek,FALSE
terrain,enemy,244.21059,3,2,seek,FALSE
terrain,enemy,242.97002,3,2,seek,FALSE
terrain,enemy,241.73314,3,2,seek,FALSE
terrain,enemy,240.4999,3,2,seek,FALSE
terrain,enemy,239.27026,3,2,seek,FALSE
terrain,enemy,238.04419,3,2,seek,FALSE
terrain,enemy,236.82164,3,2,seek,FALSE
terrain,enemy,235.60263,3,2,seek,FALSE
terrain,enemy,234.38707,3,2,seek,FALSE
terrain,enemy,233.17494,3,2,seek,FALSE
terrain,enemy,231.9662,3,2,seek,FALSE
terrain,enemy,230.76085,3,2,seek,FALSE
terrain,enemy,229.5588,3,2,seek,FALSE
terrain,enemy,228.36008,3,2,seek,FALSE
terrain,enemy,227.1646,3,2,seek,FALSE
terrain,enemy,225.97237,3,2,seek,FALSE
terrain,enemy,224.78333,3,2,seek,FALSE
terrain,enemy,223.59743,3,2,seek,FALSE
terrain,enemy,222.41466,3,2,seek,FALSE
terrain,enemy,221.23497,3,2,seek,FALSE
terrain,enemy,220.05833,3,2,seek,FALSE
terrain,enemy,218.88474,3,2,seek,FALSE
terrain,enemy,217.71414,3,2,seek,FALSE
terrain,enemy,216.5465,3,2,seek,FALSE
terrain,enemy,215.38176,3,2,seek,FALSE
terrain,enemy,214.21996,3,2,seek,FALSE
terrain,enemy,213.06096,3,2,seek,FALSE
terrain,enemy,211.9048,3,2,seek,FALSE
terrain,enemy,210.75142,3,2,seek,FALSE
terrain,enemy,209.60081,3,2,seek,FALSE
terrain,enemy,208.45293,3,2,seek,FALSE
terrain,enemy,207.30774,3,2,seek,FALSE
terrain,enemy,206.16519,3,2,seek,FALSE
terrain,enemy,205.02528,3,2,seek,FALSE
terrain,enemy,203.88795,3,2,seek,FALSE
terrain,enemy,202.75319,3,2,seek,FALSE
terrain,enemy,201.62094,3,2,seek,FALSE
terrain,enemy,200.4912,3,2,seek,FALSE
terrain,enemy,199.36394,3,2,seek,FALSE
terrain,enemy,198.2391,3,2,seek,FALSE
terrain,enemy,197.11667,3,2,seek,FALSE
terrain,enemy,195.9966,3,2,seek,FALSE
terrain,enemy,194.87885,3,2,seek,FALSE
terrain,enemy,193.76343,3,2,seek,FALSE
terrain,enemy,192.65027,3,2,seek,FALSE
terrain,enemy,191.53934,3,2,seek,FALSE
terrain,enemy,190.43065,3,2,seek,FALSE
terrain,enemy,189.32414,3,2,seek,FALSE
terrain,enemy,188.2198,3,2,seek,FALSE
terrain,enemy,187.11757,3,2,seek,FALSE
terrain,enemy,186.01744,3,2,seek,FALSE
terrain,enemy,184.91937,3,2,seek,FALSE
terrain,enemy,183.82332,3,2,seek,FALSE
terrain,enemy,182.72926,3,2,seek,FALSE
terrain,enemy,181.63719,3,2,seek,FALSE
terrain,enemy,180.54707,3,2,seek,FALSE
terrain,enemy,179.45886,3,2,seek,FALSE
terrain,enemy,178.37254,3,2,seek,FALSE
terrain,enemy,177.28812,3,2,seek,FALSE
terrain,enemy,176.20552,3,2,seek,FALSE
terrain,enemy,175.12468,3,2,seek,FALSE
terrain,enemy,173.23425,3,2,wander,FALSE
terrain,enemy,170.99709,3,2,wander,FALSE
terrain,enemy,168.8195,3,2,wander,FALSE
terrain,enemy,166.70451,3,2,wander,FALSE
terrain,enemy,164.65521,3,2,wander,FALSE
terrain,enemy,162.67467,3,2,wander,FALSE
terrain,enemy,160.76604,3,2,wander,FALSE
terrain,enemy,158.93254,3,2,wander,FALSE
terrain,enemy,157.17738,3,2,wander,FALSE
terrain,enemy,155.50368,3,2,wander,FALSE
terrain,enemy,153.9147,3,2,wander,FALSE
terrain,enemy,152.41353,3,2,wander,FALSE
terrain,enemy,151.00325,3,2,wander,FALSE
terrain,enemy,149.68694,3,2,wander,FALSE
terrain,enemy,148.4674,3,2,wander,FALSE
terrain,enemy,147.34747,3,2,wander,FALSE
terrain,enemy,146.32977,3,2,wander,FALSE
terrain,enemy,145.4168,3,2,wander,FALSE
terrain,enemy,144.61073,3,2,wander,FALSE
terrain,enemy,143.9137,3,2,wander,FALSE
terrain,enemy,143.32747,3,2,wander,FALSE
terrain,enemy,142.85356,3,2,wander,FALSE
terrain,enemy,142.49326,3,2,wander,FALSE
terrain,enemy,142.24753,3,2,wander,FALSE
terrain,enemy,142.11711,3,2,wander,FALSE
terrain,enemy,142.10223,3,2,wander,FALSE
terrain,enemy,142.20303,3,2,wander,FALSE
terrain,enemy,142.41927,3,2,wander,FALSE
terrain,enemy,142.75021,3,2,wander,FALSE
terrain,enemy,143.19508,3,2,wander,FALSE
terrain,enemy,143.75261,3,2,wander,FALSE
terrain,enemy,144.42139,3,2,wander,FALSE
terrain,enemy,145.19965,3,2,wander,FALSE
terrain,enemy,146.08539,3,2,wander,FALSE
terrain,enemy,147.07646,3,2,wander,FALSE
terrain,enemy,148.09389,3,2,wander,FALSE
terrain,enemy,149.13704,3,2,wander,FALSE
terrain,enemy,150.20534,3,2,wander,FALSE
terrain,enemy,151.29807,3,2,wander,FALSE
terrain,enemy,152.41467,3,2,wander,FALSE
terrain,enemy,153.55444,3,2,wander,FALSE
terrain,enemy,154.7168,3,2,wander,FALSE
terrain,enemy,155.90112,3,2,wander,FALSE
terrain,enemy,157.1068,3,2,wander,FALSE
